1542438218682 | 355997574578651136
1542438201461 | 355997430118432768
1542438211198 | 355997511773143040
1542438205786 | 355997466407550976
1542438195015 | 355997376104185856
1542438209053 | 355997493813133312
1542438215479 | 355997547751882752
1542438193930 | 355997366952214528
1542438214416 | 355997538868346880
1542438207936 | 355997484602441728
1542438198220 | 355997402922565632
1542438196080 | 355997384979333120
1542438204704 | 355997457406574592
1542438216572 | 355997556878688256
1542438219745 | 355997583520907264
1542438217608 | 355997565619617792
1542438199286 | 355997411881598976
1542438197152 | 355997393980309504
1542438210132 | 355997502856052736
1542438206858 | 355997475391750144
1542438203606 | 355997448095219712
1542438212283 | 355997520958668800
1542438200390 | 355997421117456384
1542438202535 | 355997439211683840
1542438213321 | 355997529607323648
